Shift  0  1  2
Day           
0      6  7  0
1      3  5  0
2      7  9  0
3      5  8  3
4      3  6  9
5      2  0  5
6      9  5  1
7      6  8  1
8      2  5  1
9      8  3  1
10     4  5  0
11     9  8  2
12     3  7  0
13     6  9  1
14     2  7  1
15     3  5  1
16     7  2  1
17     4  0  9
18     6  8  3
19     4  9  7
20     7  2  0
21     3  6  7
22     5  9  7
23     2  0  7
24     3  5  0
25     8  2  6
26     5  9  4
27     6  3  0
28     8  0  4
29     9  6  4
30     8  5  4
31     6  1  2
32     2  8  5
33     4  6  8
34     5  1  3
35     4  8  9
36     2  6  9
37     7  3  9
38     4  9  0
39     5  0  3
40     3  7  6
41     2  0  8
42     8  4  1
43     3  7  1
44     2  6  1
45     4  7  0
46     6  3  8
47     5  2  8
48     3  8  1
49     5  0  4
50     7  9  4
51     5  1  4
52     9  6  2
53     7  1  2
54     6  8  4
55     7  9  1
