 Nurse  Weekday Shifts  Weekend Shifts  Shift 0  Shift 1  Shift 2  Total Shifts
     0              12               5        0        7       10            17
     1              12               5        0        4       13            17
     2              12               4        8        4        4            16
     3              12               5        9        4        4            17
     4              12               4        7        1        8            16
     5              12               5        8        7        2            17
     6              12               5        8        7        2            17
     7              12               5        7        6        4            17
     8              12               5        5        8        4            17
     9              12               5        4        8        5            17
