Day,Day Name,Shift
0,Monday,--
1,Tuesday,--
2,Wednesday,--
3,Thursday,--
4,Friday,ED Day 02
5,Saturday,--
6,Sunday,ED Day 02
7,Monday,--
8,Tuesday,--
9,Wednesday,--
10,Thursday,ED Nights
11,Friday,ED Nights
12,Saturday,ED Nights
13,Sunday,ED Nights
14,Monday,Rest Day
15,Tuesday,Rest Day
16,Wednesday,ED Day 01
17,Thursday,--
18,Friday,--
19,Saturday,--
20,Sunday,--
21,Monday,--
22,Tuesday,--
23,Wednesday,ED Day 01
24,Thursday,--
25,Friday,ED Day 02
26,Saturday,--
27,Sunday,ED Day 02
28,Monday,--
29,Tuesday,--
30,Wednesday,--
31,Thursday,--
32,Friday,--
33,Saturday,--
34,Sunday,--
35,Monday,--
36,Tuesday,ED Day 02
37,Wednesday,--
38,Thursday,ED Day 02
39,Friday,--
40,Saturday,--
41,Sunday,--
42,Monday,--
43,Tuesday,ED Day 01
44,Wednesday,--
45,Thursday,--
46,Friday,ED Day 02
47,Saturday,--
48,Sunday,--
49,Monday,--
50,Tuesday,ED Day 01
51,Wednesday,--
52,Thursday,--
53,Friday,ED Day 02
54,Saturday,--
55,Sunday,ED Day 01
